Speaker Label,Gender,Word,Vowel,Class ID,F1,F2,F3
iwd001,M,had,AE D,2,864,1508,2795
iwd001,M,hard,AA,3,881,1245,2485
rac001,M,head,EH1,1,591,2166,2920
rac001,M,had,AE D,2,808,1440,2607
rac001,M,hard,AA,3,812,1170,2837
sgd001,M,head,EH1,1,513,2247,2727
sgd001,M,had,AE D,2,815,1476,2964
sgd001,M,hard,AA,3,820,1332,3059
sxm001,M,head,EH1,1,745,1974,2580
sxm001,M,had,AE D,2,866,1466,2450
sxm001,M,hard,AA,3,990,1668,2520
